Body,Department,Priority,Tags
Need support the network switch keeps disconnecting from my workstation,Technical Support,High,software install
Quick question i want to renew our contract and expand our enterprise usage,Sales and Pre-Sales,Medium,subscription renewal
Requesting assistance my notebook shows a timeout error immediately after startup,Technical Support,Critical,active directory
Need support the the CRM application on my notebook will not open after the security patch update,Technical Support,High,cloud storage
Requesting assistance requesting installation of Outlook on my work office PC,Technical Support,Medium,software install
Reporting an issue the laptop I ordered arrived malfunctioning and I need a replacement,Returns and Exchanges,High,defective hardware
For your attention unable to access the intranet due to an authentication error,Billing and Payments,Critical,printer issue
Quick question the docking station arrived late and is no longer needed,Returns and Exchanges,Low,defective hardware
Urgent the returned office chair was received but no refund was issued,Returns and Exchanges,Low,wrong item
Need support the scanner does not work with our existing equipment,Returns and Exchanges,Low,return label
For your attention i need a letter confirming my employment for offer letter purposes,Human Resources,Low,leave request
Hi team i was charged an overcharge for my cloud storage subscription,Billing and Payments,Medium,tax invoice
Kindly assist what are the licensing options for the security solution,Sales and Pre-Sales,Medium,subscription renewal
Urgent i need to change my home address following my relocation,Human Resources,Low,leave request
Reporting an issue i want to discuss a bulk purchase of several collaboration suite licenses,Sales and Pre-Sales,Low,product demo
Reporting an issue Outlook fails to sync my data with the database server,Technical Support,High,password login
For your attention the monthly statement shows a subscription fee that I do not recognize,Billing and Payments,Medium,duplicate charge
Need support requesting a proposal for deploying CRM system across our team,Sales and Pre-Sales,High,bulk purchase
Kindly assist i need to update my mailing address in the employee portal,Returns and Exchanges,Low,employment letter
Hello i would like a quote for several units of your backup solution,Sales and Pre-Sales,High,quote pricing
Requesting assistance my company phone cannot detect the scanner anymore,Technical Support,High,server access
Need support getting a security warning when connecting to the office network,Technical Support,Critical,password login
FYI i want to opt out of the vision coverage for the next enrollment period,Human Resources,High,tax document
Urgent can you resend my tax statement as I did not receive it,Human Resources,Low,payroll salary
Hi team my the internal portal mailbox is not syncing after the Windows update,Technical Support,Critical,system update
Urgent i would like a quote for fifty units of your monitoring platform,Sales and Pre-Sales,Low,proposal request
Urgent my return request for the tablet has not been approved yet,Returns and Exchanges,Medium,replacement request
Hi team i need access to my tax statement through the employee portal,Human Resources,Low,employee benefits
For your attention what discounts are available for annual managed service contracts,Sales and Pre-Sales,High,trial evaluation
The Zoom on my notebook will not open after the antivirus update,Technical Support,High,active directory
Need support how do I exchange the mouse for the correct configuration,Returns and Exchanges,Low,exchange product
Hello my refund for the returned docking station has not arrived yet,Returns and Exchanges,Medium,exchange product
Reporting an issue the headset does not work with our existing equipment,Sales and Pre-Sales,Low,wrong item
Hi team my desktop is not charging after the recent driver update,Technical Support,High,password login
Quick question we need a scalable storage plan solution for several users,Sales and Pre-Sales,Low,quote pricing
Hello i would like to return the docking station I received last week,Returns and Exchanges,Low,return label
Requesting assistance i would like to return the docking station I received last week,Returns and Exchanges,Medium,exchange product
Good morning i need pricing for adding more seats to our licensing subscription,Sales and Pre-Sales,Low,subscription renewal
Kindly assist the network switch keeps disconnecting from my docking station,Technical Support,Critical,password login
A duplicate charge for support package appeared on my receipt,Billing and Payments,Medium,overcharge dispute
Need support can I exchange this external drive for a newer size,Sales and Pre-Sales,Low,replacement request
I would like to request my pay stub for a loan application,Human Resources,Medium,employment letter
Good morning there is a runtime error appearing when I access the cloud server,Technical Support,High,password login
Hello please send me the feature comparison for your security solution plans,Sales and Pre-Sales,Low,quote pricing
Reporting an issue i received the wrong webcam in my recent order,Returns and Exchanges,Low,shipping damage
Following up the laptop was damaged during shipping and needs to be returned,Returns and Exchanges,Low,damaged item
FYI please correct the line item listed on my recent invoice,Billing and Payments,High,duplicate charge
Hello can you explain the difference between your subscription tiers,Sales and Pre-Sales,Medium,license upgrade
Kindly assist i would like to compare your backup solution against competitors,Sales and Pre-Sales,Medium,enterprise plan
Need support the billing system charged me twice for the same support package,Billing and Payments,Medium,invoice payment
Please help how do I exchange the tablet for the correct model,Returns and Exchanges,Low,return label
Urgent the workstation will not boot up even after restarting it,Technical Support,High,server access
FYI the laptop arrived late and is no longer needed,Returns and Exchanges,Medium,return label
Requesting assistance there is a access denied message appearing when I access the file server,Technical Support,Critical,wifi connection
Need support i would like to review my dental coverage options for next year,Human Resources,High,employment letter
I cannot log into the employee portal using multi-factor authentication,Technical Support,Critical,outlook email
FYI i would like a full refund for the scratched monitor,Returns and Exchanges,Low,exchange product
Reporting an issue the accounting software fails to sync my data with the mail server,Technical Support,High,password login
FYI i received the wrong monitor in my recent order,Returns and Exchanges,Low,wrong item
For your attention i need a refund for the a double payment on my last bill,Billing and Payments,Low,duplicate charge
Reporting an issue requesting an extension on my bereavement leave due to personal reasons,Human Resources,Low,leave request
Urgent the webcam I ordered is not working straight out of the box,Returns and Exchanges,Medium,replacement request
Hello i would like a full refund for the not working docking station,Returns and Exchanges,High,shipping damage
Need support the invoice shows a line item that I do not recognize,Billing and Payments,Low,purchase order
Good morning my monitor is displaying errors after the recent driver update,Technical Support,High,cloud storage
Quick question i need a refund for the an incorrect amount on my last receipt,Human Resources,Low,duplicate charge
Quick question i have not received the monthly statement for last month's subscription,Billing and Payments,Medium,overcharge dispute
Reporting an issue i cannot connect to the company company intranet from the airport,Technical Support,Critical,outlook email
For your attention we need a scalable analytics tool solution for five users,Sales and Pre-Sales,Medium,product demo
Please help can you provide pricing details for the backup solution package,Sales and Pre-Sales,Low,license upgrade
Reporting an issue the direct deposit information on my employee record is incorrect,Human Resources,High,hr portal
Good morning the guest network connection drops repeatedly during large downloads,Technical Support,Critical,outlook email
Quick question please update my emergency contact in my personal information,Human Resources,Medium,employment letter
Requesting assistance i would like to compare your storage plan against competitors,Sales and Pre-Sales,Medium,subscription renewal
Following up can you clarify the company policy regarding retirement plan,Human Resources,Medium,employment letter
FYI the laptop I ordered is the wrong model straight out of the box,Returns and Exchanges,Medium,wrong item
Please help please help me understand the childcare benefit claim process,Human Resources,Low,hr portal
Quick question what is the onboarding process for new storage plan customers,Sales and Pre-Sales,Medium,product demo
Requesting assistance i need to return the tablet as it is incompatible with my setup,Returns and Exchanges,Medium,defective hardware
Quick question why does my receipt show a tax information higher than expected,Billing and Payments,Medium,refund billing
For your attention i want to enroll in the company gym membership program,Human Resources,High,reimbursement claim
My payment method was declined when paying the account statement,Billing and Payments,Low,tax invoice
Hello the refund I requested for premium plan has not been processed yet,Billing and Payments,Medium,duplicate charge
Kindly assist the scanner keeps disconnecting from my laptop,Technical Support,Critical,server access
Kindly assist i need to update my tax details in the employee portal,Human Resources,High,tax document
Reporting an issue i was billed for monthly plan that we already cancelled,Billing and Payments,Medium,purchase order
The monitor arrived late and is no longer needed,Returns and Exchanges,Low,exchange product
Requesting assistance i need to return the laptop because it is malfunctioning,Returns and Exchanges,Medium,damaged item
Please help i received the wrong scanner in my recent order,Returns and Exchanges,Low,damaged item
FYI my subscription renewal shows an unexpected tax information,Billing and Payments,Medium,overcharge dispute
Hello i want to discuss a bulk purchase of several storage plan licenses,Sales and Pre-Sales,High,quote pricing
The tax amount on my billing statement appears to be calculated incorrectly,Billing and Payments,Medium,subscription charge
Good morning my refund for the returned docking station has not arrived yet,Returns and Exchanges,Low,damaged item
Please help i am getting a blue screen when opening OneDrive,Technical Support,Critical,active directory
Hi team i am getting a access denied message when opening the ERP system,Technical Support,High,password login
Quick question there is a runtime error appearing when I access the mail server,Technical Support,Medium,wifi connection
FYI the invoice generated this month contains incorrect processing fee,Billing and Payments,Low,subscription charge
Need support i want to discuss a bulk purchase of ten monitoring platform licenses,Sales and Pre-Sales,Medium,sales inquiry
Requesting assistance i have a question regarding my life insurance enrollment,Human Resources,High,reimbursement claim
I would like to request my offer letter for a loan application,Human Resources,Low,enrollment benefits
Following up i cannot connect to the company WiFi from home,Technical Support,High,active directory
The receipt shows a subscription fee that I do not recognize,Billing and Payments,Medium,payment failed
Please help please explain the late fee added to my latest invoice,Human Resources,High,refund billing
Kindly assist i suspect my company phone was infected while accessing Active Directory,Billing and Payments,Medium,server access
For your attention my reimbursement for bonus has not been processed,Human Resources,Low,reimbursement claim
Following up i cannot connect to the company guest network from home,Billing and Payments,Critical,cloud storage
Please help a duplicate charge for cloud storage appeared on my billing statement,Billing and Payments,High,statement billing
Please help i need a refund for the an overcharge on my last monthly statement,Billing and Payments,Medium,refund billing
FYI a duplicate charge for monthly plan appeared on my account statement,Billing and Payments,High,overcharge dispute
Kindly assist requesting an extension on my parental leave due to personal reasons,Human Resources,High,payroll salary
Need support requesting a return authorization for the defective external drive,Returns and Exchanges,Low,exchange product
Following up the access badge reset link for the employee portal is not working,Technical Support,Critical,laptop hardware
Need support my refund for the returned mouse has not arrived yet,Returns and Exchanges,Low,shipping damage
For your attention there is a discrepancy in the discount on my bill,Billing and Payments,Low,subscription charge
Reporting an issue requesting installation of Exchange on my work company phone,Technical Support,Medium,printer issue
Kindly assist my security key is not working for Active Directory,Technical Support,High,password login
I have not received the invoice for last month's software license,Billing and Payments,Low,duplicate charge
My credit card was declined when paying the bill,Billing and Payments,Medium,subscription charge
Reporting an issue our hosting service was billed before the trial period ended,Human Resources,High,overcharge dispute
Reporting an issue i need to change my contact details following my relocation,Human Resources,Low,reimbursement claim
Urgent the purchase order was billed at the wrong tax information,Billing and Payments,Medium,refund billing
The scanner was damaged during shipping and needs to be returned,Returns and Exchanges,Low,exchange product
Reporting an issue i need pricing for adding more seats to our subscription subscription,Sales and Pre-Sales,Low,sales inquiry
Kindly assist my auto-payment for the software license failed this billing cycle,Billing and Payments,Medium,refund billing
Hi team can you provide pricing details for the software suite package,Sales and Pre-Sales,Low,enterprise plan
I need to change my tax details following my relocation,Human Resources,Low,reimbursement claim
Kindly assist my company account was declined when paying the account statement,Billing and Payments,High,overcharge dispute
FYI please explain the tax information added to my latest receipt,Billing and Payments,Low,tax invoice
Urgent the Teams on my monitor will not open after the operating system update,Technical Support,Critical,server access
My auto-payment for the software license failed this billing cycle,Billing and Payments,Low,overcharge dispute
Quick question i would like a quote for five units of your monitoring platform,Technical Support,Low,proposal request
Please help i would like a quote for ten units of your storage plan,Sales and Pre-Sales,High,quote pricing
We are considering switching to your enterprise solution,Sales and Pre-Sales,Low,trial evaluation
For your attention i cannot connect to the company corporate network from abroad,Technical Support,Medium,outlook email
Kindly assist i received the wrong scanner in my recent order,Returns and Exchanges,Low,return refund
Urgent my travel reimbursement from last month is still outstanding,Human Resources,Low,payroll salary
Please help there is a error message appearing when I access the backup server,Technical Support,High,vpn network
Need support the mailing address change I submitted has not reflected in the system,Human Resources,Low,leave request
Following up there is a timeout error appearing when I access the cloud server,Technical Support,High,authentication error
Kindly assist i need to change my mailing address following my relocation,Human Resources,Medium,enrollment benefits
Requesting assistance the exchange for my external drive was never shipped out,Returns and Exchanges,High,return refund
Hello the office PC will not load the desktop even after restarting it,Technical Support,High,wifi connection
Quick question what are the licensing options for the security solution,Sales and Pre-Sales,Medium,enterprise plan
Good morning requesting an extension on my maternity leave due to personal reasons,Human Resources,High,employee benefits
FYI the direct deposit information on my employee record is incorrect,Human Resources,Low,employment letter
Reporting an issue the billing system charged me twice for the same software license,Billing and Payments,Low,overcharge dispute
FYI please confirm the status of my vacation time application,Human Resources,Low,employment letter
Kindly assist the docking station does not work with our existing equipment,Returns and Exchanges,Low,return refund
I want to discuss a bulk purchase of one hundred monitoring platform licenses,Sales and Pre-Sales,High,product demo
Reporting an issue i want to discuss a bulk purchase of twenty cloud platform licenses,Sales and Pre-Sales,Medium,product demo
Good morning the the internal portal keeps crashing whenever I try to generate a report,Technical Support,Low,authentication error
Requesting assistance the profile information change I submitted has not reflected in the system,Human Resources,High,employment letter
Reporting an issue i received the wrong keyboard in my recent order,Returns and Exchanges,Medium,defective hardware
Hello why does my receipt show a total amount higher than expected,Billing and Payments,Low,invoice payment
Need support the access badge reset link for Azure is not working,Technical Support,Medium,wifi connection
Good morning the returned scanner was received but no refund was issued,Returns and Exchanges,Low,wrong item
Please help i need to update my mailing address in the employee portal,Human Resources,Medium,employment letter
Hi team i need clarification on the service charge in this month's invoice,Billing and Payments,Medium,refund billing
Requesting assistance we are evaluating your security solution for our organization,Sales and Pre-Sales,Medium,quote pricing
Reporting an issue my salary slip shows an incorrect travel reimbursement,Human Resources,Medium,hr portal
Hi team the replacement mouse I received is also malfunctioning,Returns and Exchanges,Low,return refund
Hi team the total amount on invoice does not match our agreed contract,Billing and Payments,Low,tax invoice
Quick question i need to update my personal information in the employee portal,Human Resources,High,tax document
Urgent why does my receipt show a service charge higher than expected,Billing and Payments,Medium,statement billing
Requesting assistance my bonus was not included in this month's payment,Human Resources,Low,enrollment benefits
Good morning i am getting a blue screen when opening Teams,Technical Support,Critical,active directory
Quick question i need to return the laptop because it is malfunctioning,Returns and Exchanges,Low,return refund
Need support i have a question regarding my life insurance enrollment,Human Resources,Low,onboarding paperwork
Please help my life insurance deduction seems higher than expected this month,Human Resources,Medium,hr portal
FYI i was charged an overcharge for my subscription subscription,Billing and Payments,Low,tax invoice
For your attention the billing statement shows a service charge that I do not recognize,Billing and Payments,Low,purchase order
Following up why does my billing statement show a discount higher than expected,Human Resources,Medium,invoice payment
Reporting an issue my account is locked out of the database after multiple attempts,Technical Support,High,password login
Requesting assistance i need to return the printer as it is incompatible with my setup,Returns and Exchanges,Medium,wrong item
Requesting assistance i would like a quote for two hundred units of your monitoring platform,Sales and Pre-Sales,Medium,proposal request
Kindly assist we are interested in a partnership regarding your backup solution,Sales and Pre-Sales,Medium,trial evaluation
Kindly assist requesting an extension on my vacation time due to personal reasons,Human Resources,Low,enrollment benefits
Requesting assistance i need pricing for adding more seats to our enterprise subscription,Sales and Pre-Sales,Low,product demo
Reporting an issue can I exchange this docking station for a newer configuration,Returns and Exchanges,Low,damaged item
Urgent i would like to learn more about the software suite before purchasing,Sales and Pre-Sales,High,trial evaluation
Following up the headset was damaged during shipping and needs to be returned,Returns and Exchanges,Medium,store credit
Urgent my paternity leave request has not been approved yet,Human Resources,Low,leave request
Hi team can you clarify the company policy regarding health insurance,Human Resources,Low,payroll salary
Need support please confirm the status of my parental leave application,Human Resources,High,payroll salary
Requesting assistance can you resend my offer letter as I did not receive it,Human Resources,Medium,tax document
Quick question the service charge on invoice does not match our agreed contract,Billing and Payments,Low,invoice payment
Requesting assistance why does my bill show a line item higher than expected,Billing and Payments,Low,subscription charge
Kindly assist how do I exchange the docking station for the correct model,Returns and Exchanges,High,replacement request
Please help requesting a return authorization for the defective keyboard,Returns and Exchanges,Low,exchange product
For your attention the monitor will not detect the monitor even after restarting it,Technical Support,High,authentication error
Please help please explain the late fee added to my latest bill,Billing and Payments,Medium,subscription charge
We are considering switching to your licensing solution,Sales and Pre-Sales,Low,subscription renewal
Quick question the exchange for my headset was never shipped out,Returns and Exchanges,Low,exchange product
Hello a duplicate charge for annual contract appeared on my monthly statement,Billing and Payments,Low,statement billing
Need support my workstation cannot detect the scanner anymore,Technical Support,High,cloud storage
Kindly assist a duplicate charge for premium plan appeared on my billing statement,Billing and Payments,Low,purchase order
Hello please correct the processing fee listed on my recent invoice,Billing and Payments,Medium,purchase order
Quick question why does my monthly statement show a service charge higher than expected,Billing and Payments,Low,statement billing
For your attention requesting an exchange for the printer due to it being incomplete,Returns and Exchanges,Medium,return refund
Please help a duplicate charge for annual contract appeared on my bill,Billing and Payments,High,duplicate charge
FYI i need pricing for adding more seats to our licensing subscription,Sales and Pre-Sales,Low,quote pricing
Urgent i need to return the laptop as it is incompatible with my setup,Returns and Exchanges,Low,shipping damage
Kindly assist my refund for the returned headset has not arrived yet,Returns and Exchanges,Low,shipping damage
Reporting an issue can you resend my pay stub as I did not receive it,Human Resources,High,payroll salary
The VPN is extremely slow when I try to file transfers,Billing and Payments,Critical,password login
Please help i suspect my laptop was infected while accessing the file server,Technical Support,Low,authentication error
I need to update my profile information in the employee portal,Human Resources,Medium,reimbursement claim
Following up what discounts are available for annual enterprise contracts,Sales and Pre-Sales,Medium,quote pricing
Hello requesting a proposal for deploying security solution across our team,Sales and Pre-Sales,High,sales inquiry
Following up the tax details change I submitted has not reflected in the system,Human Resources,High,tax document
Following up i have a question regarding my vision coverage enrollment,Returns and Exchanges,Low,onboarding paperwork
Requesting assistance please share information about your enterprise software suite options,Sales and Pre-Sales,Low,product demo
For your attention the router keeps disconnecting from my office PC,Technical Support,High,active directory
My Zoom mailbox is not syncing after the antivirus update,Technical Support,High,system update
Kindly assist the invoice generated this month contains incorrect late fee,Billing and Payments,Low,overcharge dispute
For your attention a duplicate charge for software license appeared on my invoice,Billing and Payments,Medium,duplicate charge
Getting a security warning when connecting to the company intranet,Technical Support,Critical,printer issue
Good morning please provide details on the implementation timeline for CRM system,Sales and Pre-Sales,High,subscription renewal
Need support my monitor shows a connection error immediately after startup,Technical Support,Critical,server access
Urgent i would like a full refund for the defective docking station,Returns and Exchanges,Low,defective hardware
Good morning i cannot log into Office 365 using multi-factor authentication,Technical Support,Critical,system update
Good morning the security key reset link for the employee portal is not working,Technical Support,Critical,software install
Reporting an issue my docking station is displaying errors after the recent Windows update,Technical Support,Critical,system update
Quick question my payment for the subscription did not go through successfully,Billing and Payments,Low,duplicate charge
Kindly assist i have not received my tax statement for tax filing purposes,Human Resources,High,onboarding paperwork
Requesting assistance i am interested in upgrading my current subscription plan,Sales and Pre-Sales,Low,quote pricing
Requesting assistance i need help configuring the ERP system on my new workstation,Technical Support,Critical,system update
Good morning i want to renew our contract and expand our premium usage,Sales and Pre-Sales,Medium,subscription renewal
The returned laptop was received but no refund was issued,Returns and Exchanges,Medium,shipping damage
For your attention i have a question regarding my benefits enrollment,Returns and Exchanges,High,leave request
Need support my username is not working for the shared drive,Technical Support,Medium,system update
Urgent my security key is not working for the database,Technical Support,Low,printer issue
Hi team why does my monthly statement show a line item higher than expected,Billing and Payments,Medium,invoice payment
Following up my paternity leave balance was not updated after my last request,Human Resources,Medium,enrollment benefits
Good morning i am interested in upgrading my current premium plan,Sales and Pre-Sales,Low,license upgrade
For your attention i want to discuss a bulk purchase of two hundred software suite licenses,Sales and Pre-Sales,Medium,product demo
Good morning i want to opt out of the gym membership for the next enrollment period,Human Resources,Medium,onboarding paperwork
Good morning the office chair stopped working within days of delivery,Returns and Exchanges,Medium,return refund
Kindly assist the webcam arrived late and is no longer needed,Returns and Exchanges,Low,return refund
Hello requesting an extension on my unpaid leave due to personal reasons,Human Resources,Low,reimbursement claim
Requesting assistance i have not received the receipt for last month's cloud storage,Billing and Payments,Low,refund billing
Kindly assist my office PC is not turning on after the recent antivirus update,Technical Support,Low,system update
Hi team i have not received the receipt for last month's software license,Billing and Payments,High,overcharge dispute
Reporting an issue there is a discrepancy in the processing fee on my bill,Billing and Payments,Medium,subscription charge
FYI the WiFi is extremely slow when I try to peak hours,Billing and Payments,Critical,outlook email
Need support i want to renew our contract and expand our licensing usage,Sales and Pre-Sales,High,trial evaluation
Need support can you provide pricing details for the analytics tool package,Sales and Pre-Sales,Low,product demo
Hi team i want to enroll in the company retirement plan program,Human Resources,Low,hr portal
Following up why does my bill show a total amount higher than expected,Billing and Payments,Medium,purchase order
Hi team what are the licensing options for the cloud platform,Technical Support,Medium,proposal request
Reporting an issue i need to submit my holiday pay for approval this cycle,Human Resources,Low,leave request
Hello my study leave request has not been approved yet,Returns and Exchanges,High,employee benefits
For your attention i would like to request my payslip for a loan application,Human Resources,High,payroll salary
Reporting an issue i need a letter confirming my employment for employment letter purposes,Human Resources,Low,reimbursement claim
Kindly assist i want to send back the keyboard and receive store credit,Returns and Exchanges,Low,store credit
Hello the purchase order was billed at the wrong subscription fee,Billing and Payments,High,payment failed
Hi team i need to update my phone number in the employee portal,Human Resources,High,employee benefits
Quick question the headset I ordered is malfunctioning straight out of the box,Returns and Exchanges,Medium,shipping damage
Good morning i was charged an incorrect amount for my premium plan subscription,Billing and Payments,Low,tax invoice
Need support my vision coverage deduction seems higher than expected this month,Human Resources,Medium,onboarding paperwork
Following up the receipt shows a late fee that I do not recognize,Billing and Payments,Low,subscription charge
Need support requesting an extension on my annual leave due to personal reasons,Human Resources,Low,payroll salary
Please help the office chair I ordered is malfunctioning straight out of the box,Returns and Exchanges,Low,defective hardware
Following up the office chair was damaged during shipping and needs to be returned,Returns and Exchanges,Low,replacement request
FYI my bonus from last month is still outstanding,Human Resources,Low,reimbursement claim
I need access to my tax statement through the employee portal,Human Resources,High,leave request
Kindly assist unable to access the shared drive due to an authentication error,Technical Support,High,printer issue
FYI what is the onboarding process for new analytics tool customers,Sales and Pre-Sales,Medium,product demo
Reporting an issue requesting a trial version of the security solution for evaluation,Sales and Pre-Sales,Medium,proposal request
Need support requesting an extension on my study leave due to personal reasons,Human Resources,Low,employee benefits
Can I exchange this docking station for a newer model,Returns and Exchanges,Medium,return refund
Good morning can your team provide a customized quote for analytics tool,Sales and Pre-Sales,Medium,sales inquiry
Kindly assist i am disputing a an unauthorized charge that appeared on my account statement,Billing and Payments,High,invoice payment
Following up requesting a copy of the billing statement for our accounting records,Billing and Payments,Low,statement billing
Please help my personal information update in the portal is still showing as pending,Human Resources,High,employment letter
Reporting an issue i suspect my workstation was infected while accessing Office 365,Technical Support,Critical,server access
FYI can you provide pricing details for the cloud platform package,Sales and Pre-Sales,Medium,license upgrade
FYI i need to change my direct deposit information following my relocation,Human Resources,Low,employee benefits
Requesting assistance i would like to compare your backup solution against competitors,Sales and Pre-Sales,Low,subscription renewal
Need support please arrange a call to discuss our support requirements,Sales and Pre-Sales,Medium,bulk purchase
For your attention please share information about your enterprise backup solution options,Sales and Pre-Sales,Low,trial evaluation
For your attention my office PC cannot detect the external drive anymore,Technical Support,Critical,wifi connection
The SharePoint keeps crashing whenever I try to upload files,Technical Support,Low,software install
Urgent why does my billing statement show a currency conversion higher than expected,Billing and Payments,Low,tax invoice
Urgent i cannot log into the database using multi-factor authentication,Technical Support,Medium,vpn network
For your attention my security key is not working for Office 365,Technical Support,High,server access
For your attention requesting a copy of the account statement for our accounting records,Billing and Payments,Low,invoice payment
Reporting an issue please process a return label for the headset I purchased,Returns and Exchanges,Low,shipping damage
Good morning can you resend my tax form as I did not receive it,Human Resources,Low,enrollment benefits
Need support could you share case studies for your analytics tool in our industry,Sales and Pre-Sales,High,bulk purchase
Requesting assistance my reimbursement for bonus has not been processed,Returns and Exchanges,Medium,onboarding paperwork
Please correct the total amount listed on my recent invoice,Billing and Payments,High,invoice payment
FYI the invoice generated this month contains incorrect unit price,Billing and Payments,Medium,duplicate charge
Requesting assistance my workstation cannot detect the headset anymore,Technical Support,High,authentication error
Good morning the keyboard I ordered is damaged straight out of the box,Returns and Exchanges,Medium,shipping damage
Hi team i would like a full refund for the faulty office chair,Sales and Pre-Sales,Medium,replacement request
Need support please explain the unit price added to my latest billing statement,Billing and Payments,Low,tax invoice
Urgent i want to discuss a bulk purchase of several analytics tool licenses,Sales and Pre-Sales,Medium,quote pricing
Urgent i need to return the router because it is missing components,Returns and Exchanges,Low,shipping damage
We need a scalable security solution solution for two hundred users,Sales and Pre-Sales,Low,quote pricing
Kindly assist can you clarify the company policy regarding health insurance,Human Resources,High,tax document
Please help my holiday pay was not included in this month's payment,Human Resources,Medium,onboarding paperwork
Reporting an issue my return request for the external drive has not been approved yet,Returns and Exchanges,Low,exchange product
Kindly assist i want to discuss a bulk purchase of thirty CRM system licenses,Technical Support,Low,product demo
For your attention what is the onboarding process for new monitoring platform customers,Sales and Pre-Sales,Medium,enterprise plan
Need support the keyboard in the office is displaying errors and needs attention,Technical Support,Critical,active directory
FYI my refund for the returned tablet has not arrived yet,Returns and Exchanges,Low,shipping damage
Hi team please help me understand the disability insurance claim process,Returns and Exchanges,High,reimbursement claim
Following up please explain the total amount added to my latest account statement,Billing and Payments,Medium,statement billing
Kindly assist the access badge reset link for the database is not working,Technical Support,High,authentication error
Following up the monitor in the office is displaying errors and needs attention,Technical Support,High,software install
Hi team my credit card was declined when paying the bill,Human Resources,Low,refund billing
Need support please explain the service charge added to my latest billing statement,Billing and Payments,Medium,subscription charge
Kindly assist i want to enroll in the company benefits program,Human Resources,High,tax document
Kindly assist my office PC cannot detect the scanner anymore,Technical Support,Critical,outlook email
Please help can I exchange this monitor for a newer version,Returns and Exchanges,Medium,defective hardware
Hi team what is the onboarding process for new cloud platform customers,Sales and Pre-Sales,Medium,enterprise plan
Good morning the notebook will not connect to the network even after restarting it,Technical Support,Critical,server access
Reporting an issue i want to renew our contract and expand our licensing usage,Sales and Pre-Sales,Low,trial evaluation
Hello there is a access denied message appearing when I access the cloud server,Technical Support,Critical,system update
Good morning i was billed for hosting service that we already cancelled,Billing and Payments,Medium,purchase order
Good morning my return request for the router has not been approved yet,Returns and Exchanges,Medium,damaged item
Need support my the accounting software mailbox is not syncing after the security patch update,Technical Support,High,printer issue
For your attention can I exchange this tablet for a newer size,Returns and Exchanges,Low,defective hardware
Need support requesting installation of the ERP system on my work desktop,Technical Support,High,outlook email
I would like a quote for one hundred units of your collaboration suite,Sales and Pre-Sales,Low,quote pricing
Please help we are interested in a partnership regarding your monitoring platform,Sales and Pre-Sales,Low,subscription renewal
Kindly assist i need clarification on the subscription fee in this month's invoice,Billing and Payments,High,duplicate charge
Reporting an issue i need help configuring Zoom on my new docking station,Technical Support,High,laptop hardware
Kindly assist i want to discuss a bulk purchase of fifty CRM system licenses,Sales and Pre-Sales,Low,trial evaluation
Hi team i cannot connect to the company VPN from a hotel,Technical Support,Critical,active directory
Quick question my dental coverage deduction seems higher than expected this month,Returns and Exchanges,Medium,tax document
Quick question what discounts are available for annual enterprise contracts,Sales and Pre-Sales,Low,subscription renewal
Quick question please provide details on the implementation timeline for storage plan,Sales and Pre-Sales,Low,proposal request
Hi team the tax details on my employee record is incorrect,Human Resources,Low,reimbursement claim
Good morning SharePoint fails to sync my data with the database server,Technical Support,High,laptop hardware
Urgent please help me understand the dental coverage claim process,Human Resources,High,enrollment benefits
Hi team the home address change I submitted has not reflected in the system,Human Resources,Medium,onboarding paperwork
Reporting an issue i need to return the printer because it is damaged,Returns and Exchanges,Low,defective hardware
Reporting an issue we need a scalable CRM system solution for fifty users,Sales and Pre-Sales,Low,product demo
Requesting assistance could you share case studies for your security solution in our industry,Sales and Pre-Sales,Medium,quote pricing
For your attention the refund I requested for annual contract has not been processed yet,Human Resources,Medium,refund billing
Please help the invoice generated this month contains incorrect currency conversion,Billing and Payments,Low,payment failed
Kindly assist my payment for the cloud storage did not go through successfully,Billing and Payments,Medium,purchase order
Following up the the ERP system keeps crashing whenever I try to access the dashboard,Technical Support,Medium,server access
Hello please update my emergency contact in my profile information,Human Resources,Low,employment letter
Requesting assistance my payment for the hosting service did not go through successfully,Billing and Payments,Medium,overcharge dispute
Urgent my monitor froze completely while running SharePoint,Technical Support,Medium,authentication error
For your attention please provide details on the implementation timeline for backup solution,Technical Support,Medium,subscription renewal
Kindly assist a duplicate charge for software license appeared on my invoice,Billing and Payments,Low,invoice payment
FYI please help me understand the benefits claim process,Human Resources,Medium,hr portal
For your attention can you resend my tax statement as I did not receive it,Human Resources,Medium,leave request
FYI i received the wrong external drive in my recent order,Returns and Exchanges,Medium,return label
Good morning i would like to apply for unpaid leave starting next month,Returns and Exchanges,Medium,enrollment benefits
FYI requesting installation of the ERP system on my work laptop,Technical Support,Critical,cloud storage
Reporting an issue my notebook froze completely while running Exchange,Technical Support,Low,server access
FYI the router stopped working within days of delivery,Returns and Exchanges,Low,defective hardware
Hello my return request for the scanner has not been approved yet,Returns and Exchanges,Medium,shipping damage
Following up the tax information on invoice does not match our agreed contract,Billing and Payments,Medium,invoice payment
Urgent the webcam I ordered arrived the wrong model and I need a replacement,Returns and Exchanges,Medium,return refund
Hi team i need help configuring OneDrive on my new tablet,Technical Support,Critical,password login
FYI my payment for the cloud storage did not go through successfully,Billing and Payments,Medium,statement billing
